Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Australia,33374.69087,34201.98058,34832.20712,35843.5682,36558.01524,37113.74495,37904.38868,38585.67775,38413.86241,38458.83538,38797.44917,39609.28176,39993.17501
Austria,35027.2956,35192.64513,35612.34976,35760.88649,36457.0346,37078.81994,38241.15253,39528.11394,39968.86773,38349.39813,38936.44011,39908.94915,40075.87835
Belgium,34025.96895,34184.00257,34484.43128,34618.5581,35601.0656,36027.34347,36745.95484,37524.24532,37593.09065,36259.192,36784.50491,37111.30692,36805.9491
Canada,32586.16216,32811.06045,33410.19735,33730.96771,34455.57089,35160.57178,35785.96982,36180.47892,36003.94872,34580.58546,35277.64629,35795.48196,35993.65541
Chile,6391.311805,6526.465259,6628.0141,6802.916497,7201.550809,7564.628973,7914.910248,8240.446635,8427.772702,8258.937032,8650.376355,9064.237155,9468.13491
China,1118.018997,1202.431472,1303.202807,1425.265814,1559.818881,1726.037109,1934.600308,2197.202873,2396.68853,2604.814133,2863.18605,3114.499264,
Czech Republic,10362.13927,10733.57033,10989.43772,11402.33881,11936.93632,12709.14262,13558.24491,14257.99722,14549.04025,13811.45654,14117.84728,14402.77261,14235.83038
Denmark,45353.41196,45511.08677,45561.50361,45617.58706,46552.90929,47550.38499,49001.81616,49567.95729,48892.86616,45871.8674,46306.78465,46609.56686,46267.89475
Estonia,7172.121701,7651.08744,8187.771192,8857.420039,9453.392239,10317.83984,11383.32121,12257.1477,11761.45221,10107.05157,10368.61716,11358.79418,11810.61282
European Union (27 countries),25953.96513,26435.87736,26709.16777,26985.01273,27545.27878,27991.66244,28808.92454,29603.95544,29569.23345,28208.50744,28695.35506,29073.2966,28900.52867
Finland,33217.12975,33898.44802,34436.55407,35046.00517,36385.51524,37318.76886,38815.29015,40713.00214,40642.70842,36994.83986,38064.31266,38965.21249,38391.41286
France,32491.52513,32850.76361,32918.38341,32982.66049,33576.64562,33936.03102,34534.53222,35108.90685,34888.09457,33619.48947,34029.35317,34541.01897,34377.57092
Germany,32671.46733,33105.00957,33051.37015,32912.11796,33301.93897,33544.98682,34827.54029,36011.10082,36464.56078,34691.77887,36135.85443,37330.33769,37524.09408
Greece,18040.61281,18742.02288,19320.28472,20401.84682,21219.38117,21620.78759,22720.29013,23430.58235,23288.17764,22466.37783,21308.85844,19807.96955,18561.81194
Hungary,8810.099521,9158.131416,9598.09865,9996.257327,10499.02028,10936.97601,11380.54024,11410.76535,11532.85605,10769.05193,10907.18097,11109.95288,10981.59402
Iceland,46994.25727,48169.01326,47815.75337,48689.73959,51910.09125,55046.65362,56034.62421,58041.458,57267.32627,53527.84985,51534.0284,52747.80558,53201.90165
India,,,,,703.3264498,757.0509175,815.446711,882.9086469,913.6118576,983.1641809,,,
Indonesia,1106.205306,1130.728104,1165.340206,1204.243024,1247.414353,1300.27777,1353.976405,1421.412459,1487.894671,1536.829013,1587.619872,,
Ireland,41964.15998,43376.97423,44935.54005,45851.86718,46951.26431,48696.73639,50055.90273,50987.14796,48822.08042,45271.011,44587.07424,45381.04789,45323.41524
Israel,19047.27352,18563.81714,18174.95683,18107.04125,18654.77446,19223.48565,19974.76539,20773.05793,21238.91919,21070.03409,21718.32971,22304.06531,22599.54687
Italy,29872.29179,30409.95613,30450.93149,30200.40687,30421.73412,30478.86795,30972.30034,31263.48931,30666.03224,28807.54479,29163.13882,29186.35721,28362.14944
Japan,33941.87155,34007.0187,34033.74139,34543.80066,35331.88142,35786.27637,36368.19136,37124.50338,36718.86505,34692.67329,36304.0633,36156.87995,36946.42684
Korea,14428.75312,14891.42177,15867.43803,16231.35464,16917.42415,17550.81337,18370.48977,19218.74368,19519.48197,19488.95809,20624.92809,21225.85172,21562.26883
Luxembourg,72278.22481,73276.45067,75470.87493,75760.89265,78002.8654,80831.03603,83529.43432,87587.72082,85433.63697,79229.1637,80189.4872,79844.86364,77890.02348
Mexico,7841.017076,7737.327538,7703.999764,7726.686199,7962.632766,8148.774975,8486.017617,8694.322927,8726.258824,8136.438866,8502.436572,8760.478423,9025.639158
Netherlands,37555.03228,37990.15615,37773.39592,37723.50589,38441.80081,39130.01265,40398.41089,41886.69301,42481.41475,40711.16843,41118.54667,41306.8358,40647.77537
New Zealand,24244.32842,24928.67101,25710.31774,26258.68452,26846.03619,27437.98943,27556.61028,28240.03268,27482.19366,27567.2383,27300.29371,27684.72601,28384.62209
Norway,60725.80637,61632.35927,62199.79596,62452.16659,64558.224,65785.38941,66734.55219,67849.9743,66998.89574,65111.6605,64593.3039,64613.79576,65610.9191
OECD - Total,28443.63263,28586.76206,28811.44102,29214.78263,29938.61327,30529.18711,31235.42934,31826.94259,31633.85954,30291.82931,30965.38395,31342.23995,31613.67696
Poland,6824.945761,6908.137816,7011.245703,7289.459898,7682.069353,7963.883422,8466.274972,9044.603436,9508.29394,9653.624202,9933.092714,10379.72789,10578.72486
Portugal,18003.46222,18239.19126,18244.95967,17952.89529,18127.29699,18185.62402,18388.13808,18780.51384,18754.02915,18191.35134,18535.13123,18330.29507,17811.18642
Russian Federation,3870.430978,4084.766,4298.266519,4632.837751,4985.322378,5323.463605,5776.393101,6280.146894,6612.629433,6093.631902,6365.2104,6633.168543,
Slovak Republic,6979.939878,7251.414606,7584.960169,7946.155721,8343.350981,8890.79931,9625.943406,10624.95208,11216.62439,10639.5972,11085.44209,11483.53842,11672.79882
Slovenia,15029.95724,15451.93105,16018.47821,16477.4983,17194.29508,17851.65489,18829.69803,20030.38106,20676.24272,18850.39693,19020.9036,19118.2371,18596.45944
South Africa,4640.959627,4694.107652,4801.996134,4879.543696,5036.950797,5236.707475,5462.677627,5696.845386,5834.166926,5679.412664,5789.261364,5923.993008,
Spain,23920.34952,24519.66928,24822.95982,25169.12648,25571.11772,26056.35454,26706.16799,27139.32077,26949.04202,25726.62163,25594.95511,25578.75807,25138.23844
Sweden,36576.63824,36938.42536,37732.75581,38471.83168,39940.5493,41038.71979,42561.84452,43650.39403,43043.85567,40532.42536,42823.95856,43748.60978,43839.20031
Switzerland,50015.58344,50107.90408,49805.86101,49398.79639,50261.80677,51291.94614,52819.38122,54411.5637,54923.04359,53237.90367,54914.53644,55306.51019,55461.01497
Turkey,6016.700313,5597.154092,5863.384689,6092.27145,6579.054968,7044.118492,7439.75341,7696.143394,7650.95957,7185.216727,7740.776956,8312.03153,8384.906325
United Kingdom,34062.42883,34672.99283,35345.63208,36597.65058,37575.96634,38538.38052,39371.99292,40452.94435,39872.3022,37569.65161,37904.90459,38039.46392,37554.44431
United States,40930.85165,40909.60933,41241.50622,42002.91683,43206.32008,44242.26249,44992.59063,45361.03595,44806.49106,43168.52847,43888.63034,44375.57982,45283.39463
